,Time Stamp,CH4 (ppm),C2H6 (ppb),R,C2/C1,ch4Enhcmt,totDist,length,lrate,npeaks,Latitude,Longitude,POLYGON,LEAKNUM,Unnamed: 0,PolyLK
19,06/16/2020 23:50:59.780,3.65674,8.187000000000001,0.947,0.002,1.6230000000000002,90.6,17,8.7,1,33.6780014038,-86.5537109375,P3,6,6,P3L6
20,06/16/2020 23:54:01.131,2.17194,5.908,0.765,0.01,0.149,55.7,7,0.5,1,33.682209014899996,-86.5501480103,P3,7,7,P3L7
21,06/17/2020 00:05:51.684,2.42073,4.098,0.931,0.005,0.415,134.5,28,3.0,1,33.695903778099996,-86.54203033450001,P3,8,8,P3L8
22,06/17/2020 22:13:52.025,2.05068,6.981,0.752,0.017,0.07200000000000001,95.2,6,0.7,1,33.7041282654,-86.60369873049999,P3,9,9,P3L9
23,06/17/2020 23:55:27.283,2.5956,10.765999999999998,0.962,0.011,0.596,323.2,36,16.6,4,33.7074241638,-86.5874023438,P4,0,0,P4L0
24,06/16/2020 00:22:28.974,2.16846,4.596,0.821,0.011,0.16899999999999998,278.5,18,2.4,2,33.7173080444,-86.57537841799999,P4,1,1,P4L1
25,06/18/2020 00:18:32.857,2.7688,17.680999999999994,0.983,0.011,0.7809999999999999,286.9,22,87.3,5,33.7242889404,-86.56175994870001,P4,2,2,P4L2
26,06/17/2020 23:57:29.139,2.85338,18.597,0.993,0.015,0.841,268.2,15,19.1,5,33.7183189392,-86.57409667969999,P4,3,3,P4L3
27,06/16/2020 00:45:24.513,2.2827900000000003,10.001,0.865,0.01,0.261,339.0,19,5.3,4,33.7110328674,-86.58288574219999,P4,4,4,P4L4
28,06/17/2020 23:47:54.060,3.62448,31.448,0.996,0.014,1.602,134.5,8,44.9,3,33.7068328857,-86.58834075930002,P4,5,5,P4L5
29,06/17/2020 00:50:12.753,2.50376,8.729,0.97,0.01,0.461,116.2,8,7.4,1,33.706977844200004,-86.58812713620001,P4,6,6,P4L6
30,06/16/2020 00:21:27.534,2.08739,2.5780000000000003,0.784,0.016,0.09,121.2,8,0.8,1,33.711578369099996,-86.5820770264,P4,7,7,P4L7
31,06/17/2020 00:25:57.752,2.13134,6.7620000000000005,0.898,0.021,0.109,140.2,24,1.0,1,33.7183456421,-86.5688323975,P4,8,8,P4L8
32,06/17/2020 00:47:30.449,2.42948,7.792999999999998,0.939,0.008,0.386,241.5,14,6.6,1,33.714099884,-86.57884216309998,P4,9,9,P4L9
33,06/17/2020 23:58:14.195,2.17288,10.387,0.838,0.023,0.14800000000000002,174.3,11,1.8,1,33.7216072083,-86.5675125122,P4,10,10,P4L10
34,06/18/2020 00:10:41.715,2.0527900000000003,11.108,0.836,0.026,0.085,78.3,7,0.8,1,33.7389755249,-86.58006286620001,P4,11,11,P4L11
35,06/18/2020 00:15:53.113,2.0055,8.86,0.754,0.022,0.021,57.1,6,0.1,1,33.7279701233,-86.5555725098,P4,12,12,P4L12
36,06/19/2020 02:37:50.603,2.6137,7.085,0.951,0.006999999999999999,0.584,330.5,23,20.2,4,33.6978263855,-86.6127853394,P5,0,0,P5L0
37,06/25/2020 01:16:45.926,3.72984,24.057,0.998,0.009000000000000001,1.849,175.7,18,30.2,4,33.6909637451,-86.6266479492,P5,1,1,P5L1
38,06/19/2020 01:51:40.683,3.26671,13.996,0.938,0.002,1.247,212.1,20,28.9,4,33.690410614,-86.6292114258,P5,2,2,P5L2
39,06/20/2020 02:14:02.932,2.41458,18.032,0.95,0.01,0.416,221.2,20,12.6,3,33.6895523071,-86.6210327148,P5,3,3,P5L3
40,06/20/2020 01:51:39.444,2.8884,8.174,0.973,0.006999999999999999,0.88,182.4,25,25.4,5,33.6844978333,-86.6179122925,P5,4,4,P5L4
41,06/19/2020 02:29:41.643,3.19447,17.968,0.991,0.006999999999999999,1.158,264.0,29,72.6,1,33.684677124000004,-86.6179351807,P5,5,5,P5L5
42,06/25/2020 01:13:27.168,2.12683,11.51,0.848,0.012,0.249,227.4,14,4.5,2,33.6942176819,-86.6166305542,P5,6,6,P5L6
43,06/24/2020 23:41:24.838,3.4415400000000003,9.604,0.998,0.008,1.539,190.6,22,12.9,2,33.6829948425,-86.6209564209,P5,7,7,P5L7
44,06/25/2020 01:07:42.796,2.35925,5.775,0.93,0.006999999999999999,0.482,255.1,17,13.9,2,33.7055854797,-86.6078643799,P5,8,8,P5L8
45,06/18/2020 01:18:14.604,2.32032,11.298,0.809,0.006,0.336,193.6,11,6.9,1,33.6775093079,-86.6310119629,P5,9,9,P5L9
46,06/19/2020 01:44:10.123,2.06986,14.195,0.835,0.006999999999999999,0.057,119.7,7,0.6,1,33.6974105835,-86.6135559082,P5,10,10,P5L10
47,06/19/2020 02:38:03.915,2.05878,2.903,0.77,0.023,0.029,65.5,5,0.2,1,33.698505401599995,-86.61100769040002,P5,11,11,P5L11
48,06/20/2020 01:24:46.542,2.10881,15.207,0.8059999999999999,0.006,0.067,120.3,7,1.0,1,33.6689414978,-86.6359481812,P5,12,12,P5L12
49,06/20/2020 02:02:46.376,2.11514,9.096,0.774,0.009000000000000001,0.104,155.4,8,1.2,1,33.6934928894,-86.6173019409,P5,13,13,P5L13
50,06/20/2020 02:16:18.408,2.10019,12.167,0.753,0.006999999999999999,0.075,93.9,5,0.6,1,33.6712226868,-86.63521575930002,P5,14,14,P5L14
51,06/24/2020 23:27:28.640,1.99831,4.6530000000000005,0.924,0.021,0.122,7.4,21,0.1,1,33.6399497986,-86.61437988280001,P5,15,15,P5L15
52,06/25/2020 00:33:42.374,1.96071,9.872,0.8340000000000001,0.013,0.087,67.3,9,0.1,1,33.673500061,-86.58868408200001,P5,16,16,P5L16
53,06/25/2020 00:53:31.545,3.6244,7.183,0.991,0.005,1.731,193.9,17,52.6,1,33.7130889893,-86.62196350100002,P5,17,17,P5L17
54,06/25/2020 01:08:09.420,2.20151,7.521,0.931,0.015,0.324,311.9,20,9.9,1,33.7045898438,-86.60411071780001,P5,18,18,P5L18
55,06/25/2020 01:09:39.532,2.34553,13.277,0.914,0.01,0.444,246.2,17,4.2,1,33.6985664368,-86.6089859009,P5,19,19,P5L19
56,06/25/2020 01:14:13.350,2.22912,11.681,0.942,0.01,0.35200000000000004,189.3,12,5.4,1,33.6903305054,-86.62141418459998,P5,20,20,P5L20
57,06/25/2020 01:18:03.750,1.9334,7.754,0.765,0.011,0.05,43.0,5,0.1,1,33.6913452148,-86.6287002563,P5,21,21,P5L21
58,06/25/2020 01:27:50.707,1.92011,-1.277,0.721,0.009000000000000001,0.044,79.1,5,0.3,1,33.688621521,-86.6217041016,P5,22,22,P5L22
59,06/25/2020 01:31:50.425,2.32998,0.83,0.8959999999999999,0.006999999999999999,0.446,207.0,11,9.3,1,33.658447265599996,-86.64303588870001,P5,23,23,P5L23
60,06/18/2020 21:55:57.912,3.18749,18.708,0.972,0.004,1.171,151.0,13,19.9,4,33.5919189453,-86.61302185059998,P58,0,0,P58L0
61,06/23/2020 23:33:00.673,2.28919,10.099,0.818,0.005,0.238,89.3,10,2.0,2,33.606735229499996,-86.60425567629999,P58,1,1,P58L1
